county,year,all_crimes,all_index_crimes,person_index_crimes,property_index_crimes,all_person_crimes,all_property_crimes,all_behavior_crimes,aggravated_assault,arson,burglary,curfew,disorderly_conduct,drugs,duii,embezzlement,family,forgery,fraud,gambling,kidnapping,larceny,liquor,motor_vehicle_theft,murder,negligent_homicide,other_behavior,other_sex_crimes,prostitution,rape,robbery,runaway,simple_assault,stolen_property,vandalism,weapons,all_crimes_rate
Baker,1991,844,167,14,153,116,281,447,13,0,45,54,29,21,114,0,2,5,71,0,0,88,98,20,1,0,92,13,0,0,0,25,89,0,52,12,5417
Baker,1992,944,193,25,168,133,257,554,16,3,40,48,30,28,118,0,6,9,42,0,0,113,125,15,2,0,131,29,1,5,2,52,79,0,35,15,5955.7
Baker,1993,957,211,22,189,157,305,495,11,6,41,38,47,56,131,0,6,13,42,0,0,128,79,20,1,0,91,23,0,3,7,37,112,5,50,10,5918.3
Baker,1994,1020,231,10,221,175,350,495,7,4,51,53,41,41,63,0,3,12,64,0,0,156,100,14,0,0,140,21,0,1,2,39,144,0,49,15,6212.2
Baker,1995,985,238,26,212,190,325,470,18,5,31,38,44,52,72,0,7,8,50,0,0,157,69,24,0,0,116,11,1,0,8,54,153,4,46,17,5905.5
Baker,1996,1171,296,21,275,205,400,566,19,1,60,58,23,35,136,0,10,13,52,0,2,190,120,25,0,0,121,11,0,0,2,52,171,4,55,11,7037.1
Baker,1997,1124,244,22,222,167,324,633,17,2,44,26,44,43,143,0,9,20,33,0,0,159,137,19,0,0,167,17,0,1,4,49,128,2,45,15,6718.7
Baker,1998,1216,242,31,211,218,346,652,23,2,33,33,44,48,147,0,22,17,37,0,3,151,123,27,0,0,158,13,0,1,7,63,171,0,79,14,7229.5
Baker,1999,832,173,27,146,133,248,451,23,6,30,3,34,63,98,0,9,11,45,0,1,98,82,18,1,0,96,8,0,0,3,58,97,2,38,8,4975.9
Baker,2000,877,111,11,100,130,230,517,10,10,21,13,60,72,137,0,24,8,80,0,4,65,93,14,0,0,101,12,1,0,1,8,103,0,32,8,5243.3
Baker,2001,965,138,23,115,147,221,597,18,6,20,8,42,137,105,0,18,10,56,0,1,80,90,15,0,0,160,23,1,5,0,9,100,0,34,27,5796.2
Baker,2002,959,128,22,106,174,189,596,17,7,14,3,62,144,133,0,8,4,26,0,1,73,109,19,0,0,100,19,1,1,4,13,132,1,45,23,5770.7
Baker,2003,926,128,20,108,128,178,620,15,10,12,9,55,131,142,0,10,5,21,0,0,73,99,23,0,0,149,7,0,2,3,11,101,2,32,14,5650.6
Baker,2004,741,88,11,77,106,136,499,6,1,14,5,46,105,100,0,12,12,7,0,0,50,79,13,0,0,136,11,0,2,3,2,84,4,35,14,4516.3
Baker,2005,649,103,10,93,74,146,429,3,3,17,8,29,101,89,0,5,4,13,0,1,55,48,21,0,0,139,5,0,2,5,1,58,6,27,9,3975.1
