County,Year,Assault,Homicide,Sex Crime,Kidnapping,Robbery,Arson,Burglary,Forgery,Theft,Driving,Drugs,Other,Misdemeanor
BAKER,1991,19.3,0,263.2,0,0,0,128.4,205.4,513.5,154,44.9,199,372.3
BAKER,1992,63.1,25.2,126.2,0,12.6,0,189.3,44.2,277.6,151.4,151.4,189.3,359.6
BAKER,1993,55.7,6.2,98.9,0,30.9,0,111.3,129.9,142.2,197.9,284.5,216.5,303
BAKER,1994,24.4,0,79.2,12.2,6.1,0,121.8,54.8,140.1,109.6,103.5,152.3,188.8
BAKER,1995,54,0,65.9,0,12,6,113.9,12,185.9,77.9,203.8,179.9,197.8
BAKER,1996,66.1,6,54.1,18,24,0,126.2,6,150.2,96.2,162.3,102.2,264.4
BAKER,1997,35.9,6,83.7,6,23.9,0,131.5,0,119.5,89.7,53.8,83.7,179.3
BAKER,1998,59.5,5.9,95.1,0,29.7,0,101.1,23.8,154.6,89.2,196.2,178.4,285.4
BAKER,1999,203.3,12,107.7,23.9,6,0,101.7,12,137.6,119.6,143.5,119.6,484.4
BAKER,2000,149.3,6,65.7,29.9,0,0,77.6,0,161.2,11.9,244.8,131.3,531.3
BAKER,2001,149.7,6,113.8,6,12,0,143.7,12,173.7,6,646.7,269.5,1640.7
BAKER,2002,83.8,0,101.8,0,24,0,53.9,6,221.6,6,269.5,167.7,401.2
BAKER,2003,163.6,0,84.8,18.2,18.2,0,84.8,0,193.9,6.1,387.9,133.3,206.1
BAKER,2004,60.4,0,132.9,6,12.1,0,90.6,6,253.8,24.2,392.7,145,229.6
BAKER,2005,145.5,18.2,72.7,0,18.2,0,115.2,6.1,260.6,36.4,418.2,145.5,472.7
BAKER,2006,139.6,18.2,85,6.1,6.1,0,103.2,0,224.7,66.8,248.9,218.6,522.2
BAKER,2007,152.1,0,79.1,6.1,18.3,0,79.1,12.2,213,18.3,310.3,103.4,1429.9
BAKER,2008,164.1,6.1,121.5,18.2,0,0,115.5,0,151.9,18.2,188.4,151.9,1063.5
BAKER,2009,91.2,0,66.9,6.1,0,0,66.9,0,103.3,24.3,133.7,79,766
BAKER,2010,117.4,12.4,55.6,6.2,0,0,49.4,6.2,105,18.5,191.5,142.1,797
BAKER,2011,92.5,6.2,80.2,0,0,0,55.5,12.3,86.3,74,154.2,86.3,1338.3
BAKER,2012,55.5,6.2,86.4,6.2,12.3,6.2,92.5,18.5,185.1,18.5,172.7,86.4,2510.8
BAKER,2013,86,0,67.6,12.3,0,0,86,6.1,129,12.3,184.3,86,2082.3
BENTON,1991,54.6,4.2,51.8,5.6,14,1.4,159.5,56,95.2,120.3,139.9,137.1,1683.5
BENTON,1992,48.3,8.3,46.9,4.1,38.6,4.1,143.5,55.2,82.8,180.7,97.9,142.1,2044.4
BENTON,1993,70.4,10.8,62.3,10.8,24.4,4.1,139.5,67.7,150.3,146.3,135.4,138.1,1637.3
BENTON,1994,62.4,14.6,46.5,15.9,17.3,1.3,126.2,6.6,139.5,199.2,171.3,138.1,1580.6
BENTON,1995,61.6,5.2,32.8,7.9,40.6,6.6,107.5,18.4,170.4,250.4,280.6,158.6,1565.5
BENTON,1996,68.4,14.2,63.2,5.2,19.4,9,135.5,10.3,201.3,211.6,231,152.3,1694.4
BENTON,1997,60.1,11.5,78,6.4,15.3,7.7,139.4,39.6,225,195.6,171.3,126.6,1442.3
BENTON,1998,81.4,3.8,36.9,6.4,19.1,5.1,96.7,16.5,150.1,212.5,168,104.3,1465.8
BENTON,1999,119.2,11.5,30.8,3.8,11.5,2.6,66.6,25.6,123,93.5,171.7,112.8,1412.1
BENTON,2000,92,5.1,53.6,10.2,11.5,0,92,23,169.9,23,293.7,130.3,1706.3
BENTON,2001,93.7,7.6,50.6,3.8,12.7,2.5,82.3,6.3,145.6,13.9,241.8,83.5,1741.8
BENTON,2002,82.6,5,48.8,7.5,21.3,3.8,63.8,7.5,166.5,21.3,204,83.9,1598.2
BENTON,2003,83.2,7.5,43.5,16.1,21.1,2.5,63.4,14.9,111.8,21.1,173.9,74.5,1923
BENTON,2004,61.2,6.1,36.7,17.1,18.3,1.2,64.8,12.2,113.8,28.1,172.5,79.5,2059.9
BENTON,2005,43.5,12.1,32.6,8.5,7.2,0,71.2,16.9,153.3,12.1,176.3,114.7,2023.3
BENTON,2006,80.8,4.8,39.2,3.6,19,0,51.1,4.8,127.2,22.6,156.9,98.7,2064.8
BENTON,2007,76.2,5.9,35.2,2.3,16.4,3.5,46.9,5.9,118.4,29.3,134.8,91.4,1722.2
BENTON,2008,67.3,2.3,45.3,4.6,7,2.3,61.5,2.3,97.5,11.6,104.5,99.9,1306.3
BENTON,2009,56.5,3.5,51.9,8.1,26.5,1.2,55.3,3.5,85.3,17.3,152.2,96.9,1364.1
BENTON,2010,58.3,2.3,49,5.8,9.3,2.3,58.3,3.5,79.3,9.3,176.1,101.5,1510.5
BENTON,2011,67.4,3.5,27.9,2.3,12.8,2.3,65.1,5.8,86.1,17.4,201.2,94.2,1482.6
BENTON,2012,49.5,3.5,51.9,2.3,16.1,1.2,49.5,1.2,117.5,20.7,209.7,74.9,1481.8
BENTON,2013,25.1,0,8,2.3,5.7,1.1,13.7,1.1,22.8,3.4,18.2,22.8,159.6
CLACKAMAS,1991,22.5,5.5,40.2,5.9,18.4,2.8,62.3,20.1,103.2,196.7,59.2,91.1,1300.3
CLACKAMAS,1992,16.2,5.4,31.4,3.7,25.3,2.7,67.5,20.2,95.5,251,77.6,78.6,1148.9
CLACKAMAS,1993,21.1,10.6,29.7,3.6,15.2,0.7,51.8,17.8,91,184.1,69.9,66,1093.8
CLACKAMAS,1994,16.5,8.7,23.3,8.4,16.5,1.9,31.4,8.1,82.8,208.7,105.2,69.9,1157.7
CLACKAMAS,1995,26.1,7.6,33.4,1.3,17.8,2.2,31.1,4.8,96.3,201.1,165.2,112.8,1471.8
CLACKAMAS,1996,27,5.6,33.8,6.2,23.9,0.6,30.4,7.1,100.3,207.7,144.3,112.7,1421
CLACKAMAS,1997,30.4,7.6,30.7,9.7,22.5,1.2,31.3,5.5,80.9,160,112.3,122.3,1218.8
CLACKAMAS,1998,48.1,8.4,41.8,11.1,28.8,0.9,50.2,13.5,107,188.4,122.6,137.9,1261.3
CLACKAMAS,1999,54.8,10.7,49.1,12.5,28.6,0.6,49.4,14,83,161.9,135.1,136.6,1247.7
CLACKAMAS,2000,68.2,6.2,48.5,11.2,23.2,1.2,38.8,14.4,109.4,24.7,171.2,189.7,1405.9
CLACKAMAS,2001,68.7,5.5,41.1,5.8,15.4,1.7,40,18.5,124,33.6,177.3,195.9,1543.4
CLACKAMAS,2002,36.5,4,36.5,3.1,23.4,0.9,40.8,8.3,146.2,28.2,216.9,152.2,1327.6
CLACKAMAS,2003,56.3,5.4,32.8,4.5,13.6,0.6,41.9,5.4,133,25.7,143.7,100.4,1275.1
CLACKAMAS,2004,53.3,3.9,43.2,2.5,16.6,1.4,36.5,10.7,155.5,30.3,147.1,64.8,1152.6
CLACKAMAS,2005,59,4.4,36.8,5,18.8,2.8,37.6,10.2,178.8,26.6,183.5,90.5,1169.1
CLACKAMAS,2006,49.6,4.1,37.3,3,18.3,2.5,41.1,12.3,147.9,24.2,135.7,103.8,1080.8
CLACKAMAS,2007,50,6.7,33,1.9,12.6,1.3,41.6,5.9,132.7,27.4,148.3,65.3,1117.7
CLACKAMAS,2008,44.6,5,36.4,2.1,13,1.3,26,6.1,115,26.8,134.6,48.1,1079.8
CLACKAMAS,2009,45.5,2.6,35,2.6,15,0.8,25.8,3.2,102.4,19.2,148.5,65.3,1121
CLACKAMAS,2010,49.1,3.7,28.1,1.6,11.4,0.5,36.9,6.9,91.3,19.6,209.7,70.3,1105.4
CLACKAMAS,2011,42,1.6,22.7,1.3,10.3,0.5,34.6,5.8,99.6,33.3,208.5,72.7,1096.5
CLACKAMAS,2012,34.1,2.9,29.3,0,9.4,1,32.5,4.5,100.9,34.6,199.6,72.8,1001.1
