County,Year,Assault,Homicide,Sex Crime,Kidnapping,Robbery,Arson,Burglary,Forgery,Theft,Driving,Drugs,Other
BAKER,1991,6.4,6.4,44.9,0,0,0,109.1,44.9,70.6,19.3,25.7,51.3
BAKER,1992,18.9,0,37.9,0,6.3,0,75.7,44.2,18.9,31.5,44.2,113.6
BAKER,1993,0,12.4,18.6,0,6.2,0,24.7,12.4,49.5,74.2,86.6,55.7
BAKER,1994,6.1,0,42.6,0,0,0,42.6,24.4,48.7,24.4,30.5,42.6
BAKER,1995,12,0,18,0,6,6,65.9,12,54,48,143.9,71.9
BAKER,1996,6,0,24,0,18,0,42.1,12,48.1,60.1,78.1,96.2
BAKER,1997,29.9,0,23.9,0,0,0,71.7,0,53.8,35.9,71.7,23.9
BAKER,1998,17.8,5.9,53.5,0,11.9,0,59.5,0,83.2,35.7,59.5,53.5
BAKER,1999,29.9,17.9,41.9,0,0,0,47.8,12,41.9,17.9,53.8,65.8
BAKER,2000,29.9,6,35.8,0,23.9,0,47.8,6,47.8,6,131.3,35.8
BAKER,2001,6,0,71.9,6,6,0,35.9,6,59.9,0,209.6,41.9
BAKER,2002,24,6,35.9,0,18,0,24,0,119.8,6,275.4,101.8
BAKER,2003,42.4,0,54.5,0,12.1,0,36.4,0,78.8,0,260.6,60.6
BAKER,2004,30.2,0,36.3,6,6,0,24.2,0,114.8,6,296.1,60.4
BAKER,2005,30.3,0,48.5,0,0,0,54.5,0,90.9,30.3,303,72.7
BAKER,2006,66.8,18.2,24.3,0,6.1,0,48.6,0,91.1,30.4,248.9,54.6
BAKER,2007,42.6,0,30.4,0,6.1,0,24.3,0,115.6,24.3,182.5,85.2
BAKER,2008,79,0,42.5,6.1,0,0,42.5,0,66.8,0,164.1,60.8
BAKER,2009,36.5,6.1,48.6,0,0,0,48.6,6.1,30.4,12.2,145.9,60.8
BAKER,2010,49.4,0,18.5,0,0,0,12.4,0,37.1,18.5,86.5,24.7
BAKER,2011,37,6.2,18.5,0,0,0,37,0,18.5,30.8,123.3,30.8
BAKER,2012,24.7,6.2,43.2,0,0,6.2,37,6.2,86.4,12.3,178.9,43.2
BAKER,2013,49.1,0,24.6,0,0,0,43,6.1,73.7,18.4,172,49.1
BENTON,1991,5.6,1.4,12.6,1.4,8.4,0,61.6,22.4,22.4,2.8,51.8,28
BENTON,1992,13.8,1.4,15.2,2.8,5.5,0,35.9,17.9,34.5,31.7,53.8,44.1
