Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,54,5,0,0,56,3,0,19,0,40
1992,57,5,0,0,61,0,1,19,0,43
1993,52,3,0,1,54,0,0,10,0,45
1994,38,5,0,1,42,0,0,16,0,27
1995,70,3,0,0,69,2,2,16,0,57
1996,56,8,0,1,61,2,0,18,0,46
1997,51,1,0,0,50,1,1,12,1,39
1998,57,7,0,0,61,1,2,21,1,42
1999,46,9,0,1,52,1,1,16,2,37
2000,54,8,0,0,61,1,0,15,1,46
2001,55,19,0,2,70,2,0,23,1,50
2002,83,19,0,1,97,1,3,15,2,85
2003,74,16,0,4,83,2,1,22,0,68
2004,71,25,0,1,94,1,0,20,1,75
2005,87,17,0,0,99,4,1,18,0,86
2006,72,25,0,0,96,1,0,18,0,79
2007,62,22,0,1,82,1,0,17,0,67
2008,65,11,0,0,73,1,2,12,1,63
2009,50,15,0,1,64,0,0,17,3,45
2010,31,9,0,0,40,0,0,5,0,35
2011,39,10,0,2,47,0,0,13,1,35
2012,54,18,0,1,68,0,3,13,0,59
2013,53,18,0,1,70,0,0,14,6,51
