Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,236,35,2,3,260,2,8,45,0,228
1992,181,23,0,3,195,5,1,33,0,171
1993,166,18,0,2,175,7,0,21,0,163
1994,138,31,0,0,167,1,1,25,0,144
1995,118,30,0,2,139,6,1,19,0,129
1996,227,40,1,3,250,8,7,53,0,215
1997,159,37,0,1,181,13,1,16,5,175
1998,164,31,0,1,170,24,0,23,10,162
1999,180,28,0,5,192,9,2,46,13,149
2000,203,22,0,2,199,21,3,61,12,152
2001,212,38,0,1,228,19,2,63,8,179
2002,225,51,0,5,248,22,1,68,10,198
2003,194,42,1,0,226,5,6,47,12,178
2004,195,62,0,3,233,16,5,48,19,190
2005,190,67,0,4,239,10,4,41,23,193
2006,205,53,0,4,236,7,11,48,22,188
2007,150,51,0,1,187,10,3,33,11,157
2008,168,52,0,2,199,15,4,24,22,174
2009,163,49,0,3,186,18,5,40,8,164
2010,214,45,0,1,237,17,4,47,12,200
2011,181,63,0,2,221,16,5,45,14,185
2012,224,61,0,1,262,10,12,46,17,222
2013,205,74,0,3,259,10,7,51,27,201
