Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,120,22,1,0,137,4,2,26,0,117
1992,97,19,1,0,114,2,1,18,0,99
1993,107,17,0,0,118,4,2,30,0,94
1994,113,20,1,3,125,5,1,25,0,109
1995,134,30,0,0,162,1,1,33,0,131
1996,148,32,0,1,176,2,1,26,0,154
1997,114,11,0,0,120,2,3,19,2,104
1998,124,17,1,2,137,0,3,26,4,112
1999,161,28,0,3,184,2,0,41,2,146
2000,133,36,0,0,164,5,0,31,0,138
2001,147,35,2,2,175,4,3,36,5,143
2002,187,41,0,1,220,3,4,37,3,188
2003,172,37,1,3,201,3,3,41,6,163
2004,224,58,1,6,272,1,4,52,15,216
2005,244,62,0,1,299,5,1,50,17,239
2006,215,63,0,3,269,4,2,45,10,223
2007,199,74,0,1,268,4,0,25,8,240
2008,177,54,0,4,217,5,5,45,8,178
2009,166,47,0,0,211,2,0,41,12,160
2010,116,43,0,3,150,6,0,33,9,117
2011,145,42,0,3,181,2,1,37,8,142
2012,151,39,0,3,183,2,2,32,8,150
2013,140,33,0,0,164,3,6,38,9,126
