Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,333,67,1,2,385,12,2,87,0,314
1992,337,78,0,0,400,10,5,72,0,343
1993,316,70,0,6,368,7,5,52,0,334
1994,374,76,0,2,433,5,10,50,0,400
1995,352,97,0,1,434,8,6,52,0,397
1996,296,62,0,1,337,13,7,69,0,289
1997,364,107,2,0,463,4,6,73,11,389
1998,391,135,0,3,506,4,13,104,18,404
1999,366,109,0,1,460,3,11,101,18,356
2000,329,112,0,3,431,1,6,80,17,344
2001,281,82,0,1,357,3,2,94,7,262
2002,243,64,1,1,301,3,3,57,8,243
2003,239,55,0,2,280,6,6,57,7,230
2004,241,79,0,8,308,1,3,50,6,264
2005,325,88,1,0,398,9,7,67,4,343
2006,297,92,0,4,377,6,2,63,14,312
2007,261,72,0,5,319,7,2,74,9,250
2008,198,46,0,10,224,8,2,60,2,182
2009,173,63,0,1,234,1,0,61,6,169
2010,154,59,0,2,207,2,2,55,3,155
2011,279,86,0,6,352,5,2,91,11,263
2012,281,90,0,4,355,7,5,75,8,288
2013,307,131,0,8,429,0,1,76,13,349
