Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,92,11,0,0,97,2,4,23,0,80
1992,130,20,0,1,143,3,3,24,0,126
1993,86,17,0,0,98,5,0,15,0,88
1994,105,17,0,0,113,9,0,15,0,107
1995,110,35,0,0,136,4,5,16,0,129
1996,119,20,0,2,134,1,2,18,0,121
1997,131,27,0,0,152,4,2,11,2,145
1998,153,49,0,3,189,7,3,35,4,163
1999,93,31,0,0,116,3,5,40,2,82
2000,106,23,0,1,127,0,1,30,2,97
2001,109,33,0,0,134,2,6,34,1,107
2002,132,42,0,0,168,2,4,25,1,148
2003,100,17,1,2,109,1,6,22,0,96
2004,111,22,0,0,129,3,1,24,5,104
2005,110,24,0,1,130,2,1,17,1,116
2006,97,34,0,1,123,4,3,32,2,97
2007,72,27,0,1,93,1,4,19,5,75
2008,58,24,0,1,72,5,4,11,2,69
2009,64,19,0,1,77,1,4,21,1,61
2010,85,28,0,1,105,4,3,20,0,93
2011,88,32,0,1,116,1,2,15,5,100
2012,79,28,0,1,100,3,3,24,4,79
2013,84,26,0,1,104,1,4,18,2,90
