Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,365,122,2,4,473,5,7,74,0,415
1992,360,97,0,3,438,13,3,78,0,379
1993,395,93,0,10,473,5,0,71,0,417
1994,392,96,0,1,477,7,3,96,0,392
1995,433,121,0,4,543,5,2,110,0,444
1996,470,140,1,8,590,10,3,106,0,505
1997,464,116,1,7,560,8,6,84,11,486
1998,544,135,2,7,662,10,2,121,19,541
1999,495,140,3,3,618,10,7,111,6,521
2000,460,135,0,1,578,14,2,125,2,468
2001,498,165,0,11,637,10,5,101,12,550
2002,511,139,0,7,622,13,8,113,32,505
2003,455,152,0,8,588,4,7,129,36,442
2004,442,162,0,4,583,7,10,77,34,493
2005,572,173,1,11,715,11,9,94,51,601
2006,733,265,0,12,965,10,11,85,67,846
2007,627,202,0,7,809,6,7,80,63,686
2008,540,150,0,8,656,17,9,74,41,575
2009,532,160,0,11,670,3,8,84,69,539
2010,699,189,0,7,870,7,4,129,76,683
2011,664,215,0,8,859,3,9,121,85,673
2012,769,258,0,7,999,9,12,150,127,750
2013,778,295,0,13,1042,5,13,138,133,802
