Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,4,0,0,0,4,0,0,2,0,2
1992,8,1,0,0,8,0,1,2,0,7
1993,1,0,0,0,1,0,0,0,0,1
1994,6,3,0,0,9,0,0,0,0,9
1995,10,1,0,1,9,1,0,1,0,10
1996,9,1,0,0,10,0,0,1,0,9
1997,9,2,0,0,11,0,0,1,0,10
1998,17,0,0,1,13,3,0,0,0,17
1999,14,2,0,0,15,0,1,3,0,13
2000,7,3,0,0,8,2,0,1,0,9
2001,11,1,1,0,11,0,2,1,0,12
2002,17,5,0,1,18,3,0,5,1,16
2003,8,6,0,0,14,0,0,0,0,14
2004,26,13,0,0,38,1,0,4,0,35
2005,34,26,0,0,58,2,0,1,0,59
2006,23,7,0,2,23,1,4,4,1,25
2007,18,7,0,0,21,3,1,1,0,24
2008,14,5,0,0,18,1,0,3,0,16
2009,14,7,0,1,18,2,0,4,0,17
2010,23,4,0,0,25,2,0,6,1,20
2011,13,7,0,1,17,0,2,0,0,20
2012,18,7,0,0,24,0,1,2,0,23
2013,18,6,0,1,21,1,1,1,0,23
