Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,14,0,0,0,14,0,0,5,0,9
1992,18,1,0,0,19,0,0,9,0,10
1993,15,4,0,0,16,0,3,3,0,16
1994,25,12,0,0,37,0,0,16,0,21
1995,17,3,0,0,19,0,1,3,0,17
1996,15,2,0,0,17,0,0,6,0,11
1997,16,4,0,0,20,0,0,5,1,14
1998,16,4,0,0,20,0,0,1,4,15
1999,36,10,0,0,46,0,0,6,0,40
2000,23,6,1,0,27,1,2,1,1,28
2001,16,7,0,0,23,0,0,2,2,19
2002,36,9,0,0,44,0,1,7,0,38
2003,23,5,0,0,26,1,1,7,2,19
2004,21,8,0,0,28,1,0,7,0,22
2005,26,11,0,0,36,1,0,2,2,33
2006,27,2,0,0,27,0,2,6,1,22
2007,23,6,0,0,29,0,0,4,5,20
2008,20,6,0,0,25,1,0,5,0,21
2009,19,3,0,0,20,1,1,5,1,16
2010,24,13,0,0,35,1,1,7,3,27
2011,34,15,0,0,46,3,0,10,3,36
2012,22,8,0,1,29,0,0,8,5,17
2013,37,12,0,0,49,0,0,9,2,38
