Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,36,14,0,0,45,0,5,8,0,42
1992,38,3,1,0,33,4,5,9,0,33
1993,23,8,0,0,31,0,0,6,0,25
1994,23,4,0,0,24,2,1,4,0,23
1995,47,11,1,0,56,1,2,17,0,42
1996,36,5,0,0,38,2,1,16,0,25
1997,31,14,0,0,44,0,1,6,1,38
1998,25,5,0,0,26,0,4,6,2,22
1999,22,3,0,0,23,0,2,6,1,18
2000,40,9,0,1,44,1,3,12,1,36
2001,61,15,0,0,70,0,6,18,1,57
2002,58,20,0,1,73,1,3,20,1,57
2003,29,10,0,0,35,0,4,13,3,23
2004,40,19,0,3,47,1,8,22,1,36
2005,44,10,0,0,47,2,5,13,1,40
2006,27,9,0,0,36,0,0,9,0,27
2007,38,10,0,1,41,1,5,15,3,30
2008,31,15,0,0,40,3,3,11,5,30
2009,42,12,0,0,41,11,2,19,0,35
2010,44,7,0,0,45,2,4,10,0,41
2011,57,13,0,0,64,0,6,9,0,61
2012,63,11,0,1,71,1,1,10,0,64
2013,55,14,0,2,61,1,5,7,2,60
