Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,73,12,0,0,35,20,30,16,0,69
1992,75,17,0,3,40,22,27,7,0,85
1993,71,15,0,2,40,27,17,15,0,71
1994,99,28,0,0,67,28,32,28,0,99
1995,125,19,1,2,68,38,37,26,0,119
1996,89,29,0,0,55,29,34,17,0,101
1997,133,39,0,0,110,22,40,36,9,127
1998,106,20,0,0,81,13,32,17,11,98
1999,115,22,0,5,71,30,31,18,10,109
2000,66,21,0,0,49,16,22,18,8,61
2001,82,25,0,0,67,16,24,17,7,83
2002,96,27,0,4,67,21,31,31,2,90
2003,90,26,1,4,59,27,27,20,10,87
2004,86,28,0,1,63,30,20,24,9,81
2005,120,44,0,2,77,50,35,29,5,130
2006,113,23,0,3,69,35,29,33,6,97
2007,93,17,0,2,58,29,21,21,4,85
2008,102,23,0,0,73,25,27,38,5,82
2009,81,24,0,0,58,21,26,24,4,77
2010,114,39,0,2,85,17,49,29,9,115
2011,100,42,0,4,78,28,32,41,7,94
2012,110,38,0,1,89,15,43,38,10,100
2013,107,31,0,2,77,20,39,28,3,107
