Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,32,6,1,0,37,0,2,1,0,38
1992,33,3,0,0,33,1,2,2,0,34
1993,32,2,0,0,33,1,0,1,0,33
1994,54,14,0,0,64,2,2,4,0,64
1995,44,24,0,0,55,1,12,16,0,52
1996,44,8,0,0,49,1,2,5,0,47
1997,21,7,0,0,26,0,2,5,1,22
1998,26,6,0,1,28,3,0,7,1,24
1999,30,4,0,0,32,1,1,10,0,24
2000,45,23,0,0,66,1,1,13,0,55
2001,58,11,0,0,66,1,2,13,0,56
2002,52,11,0,0,61,1,1,11,0,52
2003,45,13,0,0,54,0,4,11,1,46
2004,39,9,0,0,47,1,0,19,0,29
2005,39,6,0,0,44,0,1,9,3,33
2006,55,7,0,1,59,0,2,14,1,47
2007,36,14,0,0,47,0,3,9,0,41
2008,61,11,0,0,70,1,1,15,1,56
2009,59,6,0,3,59,0,3,19,2,44
2010,75,17,0,2,85,3,2,11,0,81
2011,100,22,0,2,112,2,6,20,2,100
2012,82,28,0,1,105,1,3,17,0,93
2013,71,12,0,1,77,1,4,11,9,63
