Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,219,22,1,0,224,9,9,73,0,169
1992,271,54,1,2,306,1,17,76,0,250
1993,238,44,0,2,264,9,7,58,0,224
1994,260,62,0,4,297,11,10,84,0,238
1995,216,57,0,3,251,6,13,55,0,218
1996,195,42,0,3,214,10,10,50,0,187
1997,220,47,1,3,242,8,15,38,13,217
1998,245,55,0,4,271,7,18,51,10,239
1999,191,54,0,5,224,11,5,44,5,196
2000,161,43,0,2,184,9,9,37,9,158
2001,217,58,0,1,241,22,11,75,5,195
2002,250,66,1,4,286,15,12,82,14,221
2003,215,56,0,6,243,13,9,77,9,185
2004,300,67,0,7,316,26,18,89,12,266
2005,263,83,0,1,320,17,8,84,5,257
2006,277,106,0,5,332,25,21,95,10,278
2007,252,72,0,0,288,20,16,84,7,233
2008,224,65,0,2,262,13,12,72,6,211
2009,234,65,0,6,260,21,12,77,11,211
2010,182,63,0,2,224,4,15,51,11,183
2011,148,60,0,2,190,3,13,61,13,134
2012,206,66,0,3,245,8,16,76,17,179
2013,235,104,0,2,318,4,15,85,18,236
