Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,438,104,1,7,524,5,7,118,0,425
1992,478,102,1,4,553,12,12,89,0,492
1993,467,82,5,4,522,12,16,99,0,455
1994,534,120,0,4,636,11,3,117,0,537
1995,704,198,1,8,870,14,11,246,0,657
1996,592,141,1,10,700,17,7,176,1,557
1997,582,124,2,12,681,7,8,153,60,495
1998,690,131,0,9,790,14,8,174,93,554
1999,579,146,2,9,689,15,14,168,71,488
2000,513,127,0,7,622,5,6,141,88,411
2001,548,166,1,8,685,15,7,163,68,484
2002,613,176,0,9,760,14,6,195,78,516
2003,560,167,2,9,713,5,2,199,80,450
2004,685,208,0,14,854,19,6,246,130,517
2005,662,223,1,10,851,16,9,248,156,482
2006,710,260,0,16,932,17,5,229,217,524
2007,712,264,1,8,946,14,9,250,184,543
2008,621,234,0,14,820,15,6,257,199,399
2009,579,193,0,6,738,23,5,246,146,380
2010,551,167,0,7,688,14,9,204,81,433
2011,533,175,0,15,672,12,9,185,73,450
2012,618,215,0,18,793,20,2,259,89,485
2013,600,180,0,16,739,14,11,255,100,425
