Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,23,4,0,0,22,5,0,4,0,23
1992,18,5,0,0,19,4,0,1,0,22
1993,37,7,0,0,37,7,0,7,0,37
1994,33,7,0,0,30,10,0,8,0,32
1995,34,10,0,0,41,3,0,4,0,40
1996,56,9,0,1,57,6,1,11,0,54
1997,41,11,0,0,44,8,0,10,2,40
1998,27,10,0,0,36,0,1,6,0,31
1999,36,3,0,1,37,1,0,4,3,32
2000,35,7,0,0,38,4,0,5,5,32
2001,38,9,0,0,42,5,0,12,0,35
2002,40,9,0,0,48,1,0,3,0,46
2003,39,6,0,0,43,2,0,5,3,37
2004,45,9,0,0,45,9,0,7,2,45
2005,49,12,0,0,54,7,0,8,0,53
2006,47,7,0,0,51,2,1,11,1,42
2007,33,5,0,0,26,12,0,6,2,30
2008,26,9,0,1,28,4,2,6,2,27
2009,30,9,0,0,38,0,1,12,4,23
2010,29,5,0,0,27,7,0,8,4,22
2011,50,8,0,0,48,10,0,17,3,38
2012,38,10,0,1,37,7,3,13,5,30
2013,20,12,0,1,29,2,0,10,2,20
