Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,79,12,0,1,85,0,5,33,0,58
1992,104,16,0,1,115,2,2,41,0,79
1993,127,14,0,4,127,7,3,33,0,108
1994,153,32,1,1,176,4,5,51,0,135
1995,119,13,1,2,124,6,1,42,0,91
1996,144,22,0,1,163,2,0,58,0,108
1997,97,16,0,4,108,1,0,30,11,72
1998,107,25,0,1,124,6,1,28,23,81
1999,122,37,0,1,148,6,4,27,27,105
2000,133,31,0,1,153,9,1,27,21,116
2001,108,28,0,2,127,6,1,33,15,88
2002,128,24,0,2,136,12,2,28,27,97
2003,95,31,0,0,124,1,1,30,12,84
2004,112,28,0,2,131,4,3,31,18,91
2005,126,33,0,6,137,9,7,26,17,116
2006,178,34,0,1,203,6,2,27,42,143
2007,127,44,0,0,162,9,0,19,22,130
2008,109,31,0,1,131,7,1,19,19,102
2009,67,29,0,1,85,3,7,17,10,69
2010,101,25,0,1,122,2,1,32,17,77
2011,115,30,0,2,137,2,4,44,19,82
2012,82,26,0,0,101,2,5,26,10,72
2013,92,32,0,1,116,3,4,22,16,86
