Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,13,1,0,0,13,0,1,1,0,13
1992,26,2,0,0,28,0,0,3,0,25
1993,22,2,0,0,23,0,1,4,0,20
1994,35,9,0,0,42,0,2,7,0,37
1995,18,2,0,0,19,0,1,3,0,17
1996,13,4,0,0,17,0,0,3,0,14
1997,10,2,0,0,12,0,0,2,0,10
1998,18,2,0,0,19,1,0,2,1,17
1999,15,1,0,0,14,0,2,1,0,15
2000,15,1,0,0,16,0,0,5,1,10
2001,11,6,0,0,15,0,2,5,0,12
2002,19,4,0,0,23,0,0,3,0,20
2003,12,2,0,0,13,1,0,2,0,12
2004,18,3,0,0,21,0,0,7,1,13
2005,20,6,0,0,26,0,0,3,0,23
2006,22,7,0,2,27,0,0,5,2,22
2007,9,1,0,0,8,0,2,2,0,8
2008,10,6,0,0,16,0,0,2,0,14
2009,11,2,0,0,10,1,2,3,0,10
2010,11,4,0,0,13,2,0,5,0,10
2011,15,4,0,0,18,1,0,0,1,18
2012,10,0,0,0,9,1,0,5,0,5
2013,11,2,0,0,12,1,0,6,0,7
