Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,956,232,4,58,1026,73,35,271,0,921
1992,971,236,5,75,994,114,29,234,0,978
1993,995,202,2,66,975,132,26,209,0,990
1994,1022,188,3,38,1053,84,38,189,0,1024
1995,1223,228,2,58,1245,122,28,257,0,1196
1996,1294,223,1,64,1230,186,38,308,0,1210
1997,1509,272,0,82,1465,190,44,264,90,1427
1998,1853,357,1,101,1843,214,53,360,114,1737
1999,1734,384,3,114,1744,215,48,301,95,1725
2000,1535,340,1,76,1503,254,43,364,127,1385
2001,1579,391,3,91,1551,273,58,437,139,1397
2002,1746,451,0,104,1726,322,45,554,214,1429
2003,1305,285,2,66,1229,262,35,450,159,983
2004,1583,342,1,91,1513,277,45,539,177,1210
2005,1758,454,0,131,1687,346,48,560,185,1467
2006,1569,416,1,117,1501,315,53,527,139,1320
2007,1620,398,0,100,1470,396,52,572,148,1298
2008,1454,375,0,124,1413,251,41,533,125,1171
2009,1374,316,1,92,1273,260,66,550,113,1028
2010,1390,357,1,136,1286,276,50,537,108,1103
2011,1411,349,0,131,1322,255,52,484,138,1138
2012,1480,406,0,92,1430,294,70,521,163,1202
2013,1627,479,0,122,1643,274,67,547,208,1351
