Year,Male,Female,NA,Black,White,Hispanic,Other,Prison,Local Control,Probation
1991,1,0,0,0,1,0,0,1,0,0
1992,9,0,0,0,8,0,1,3,0,6
1993,2,1,0,0,3,0,0,1,0,2
1994,2,0,0,0,2,0,0,0,0,2
1995,8,0,0,0,7,0,1,2,0,6
1996,6,1,0,0,6,0,1,0,0,7
1997,9,1,0,0,10,0,0,1,0,9
1998,1,0,0,0,1,0,0,0,0,1
1999,8,2,0,0,9,0,1,1,0,9
2000,5,1,0,0,6,0,0,2,0,4
2001,8,1,0,0,9,0,0,0,0,9
2002,4,2,0,0,6,0,0,3,0,3
2003,2,2,0,0,4,0,0,0,0,4
2004,7,0,0,0,6,1,0,0,0,7
2005,6,2,0,0,8,0,0,1,0,7
2006,4,0,0,0,4,0,0,1,0,3
2007,3,2,0,0,5,0,0,1,0,4
2008,2,0,0,0,2,0,0,2,0,0
2009,0,0,0,0,0,0,0,0,0,0
2010,1,1,0,0,2,0,0,0,0,2
2011,1,0,0,0,1,0,0,0,0,1
2012,3,0,0,0,3,0,0,2,0,1
2013,5,0,0,0,5,0,0,1,0,4
